noun,article,verb,phrase,english,example,category
Vertrag,der,kündigen,einen Vertrag kündigen,to cancel a contract,Sie kündigte den alten Handyvertrag.,extracted
Vertrauen,das,fassen,Vertrauen fassen zu+Dat.,to gain trust in,Das Kind fasste langsam Vertrauen zu der Lehrerin.,extracted
Vertrauen,das,schenken,jdm. Vertrauen schenken,to trust someone,Der Chef schenkte dem neuen Team Vertrauen.,extracted
Verwirrung,die,stiften,Verwirrung anrichten / stiften,to cause confusion,Die widersprüchlichen Informationen stifteten Verwirrung.,extracted
Verzweiflung,die,bringen,jdn. zur Verzweiflung bringen,to drive someone to despair,Der kaputte Computer brachte mich zur Verzweiflung.,idiom
Veto,das,einlegen,ein Veto einlegen,to veto,Ein Mitglied legte gegen den Vorschlag ein Veto ein.,extracted
Visum,das,ausstellen,jdm. ein Visum ausstellen,to issue someone a visa,Die Botschaft stellte ihr ein Visum aus.,extracted
Vogel,der,haben,einen Vogel haben,to be crazy,Er sagt nur Spaß; er hat doch einen Vogel.,idiom
Vollmacht,die,erteilen,jdm. eine Vollmacht erteilen / geben,to grant power of attorney,Sie erteilte ihrem Sohn eine Vollmacht.,extracted
Voraussetzungen,,schaffen,(die) Voraussetzungen schaffen,to create the conditions,Der Kurs schafft gute Voraussetzungen für die Prüfung.,extracted
Vorbereitungen,,treffen,Vorbereitungen treffen für+Akk.,to make preparations for,Wir treffen Vorbereitungen für die Reise.,extracted
Vorbild,das,sein,ein Vorbild sein,to be a role model,Für viele Kinder ist ihre Schwester ein Vorbild.,extracted
Vorkehrungen,,treffen,Vorkehrungen treffen,to take precautions,Vor dem Sturm traf die Stadt Vorkehrungen.,extracted
Vorlesung,die,halten,eine Vorlesung halten,to give a lecture,Der Professor hält heute eine Vorlesung über Geschichte.,extracted
Vorrang,der,haben,Vorrang haben,to have priority,An dieser Kreuzung hat der Bus Vorrang.,extracted
Vorschlag,der,machen,einen Vorschlag machen,to make a suggestion,Mai machte einen guten Vorschlag für den Ausflug.,extracted
Vorsorge,die,treffen,Vorsorge treffen,to make provisions; take precautions,Viele Familien treffen frühzeitig Vorsorge.,extracted
