word,article,english,example
einnehmen,,add English meaning,Wie muss ich die Tropfen einnehmen?
Einnahme,die,add English meaning,Hast du Handtücher eingepackt?
einpacken,,add English meaning,Ich wiederhole heute 'einpacken'.
einrichten,,add English meaning,Ich habe meine Wohnung selbst eingerichtet.
Einrichtung,die,add English meaning,"n Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut."
einsam,,add English meaning,Ohne meine Familie fühle ich mich ein bisschen einsam.
einschalten,,add English meaning,Können Sie bitte die Heizung einschalten?
einschließlich,,add English meaning,Alles zusammen kostet 200 Euro einschließlich Fahrtkosten.
Einschreiben,das,add English meaning,"Ich glaube, wir müssen jemanden einsetzen, der sich um die Organisation kümmert."
einsteigen,,add English meaning,Ich wiederhole heute 'einsteigen'.
ein,,add English meaning,einsteigen. Steig ein. Wir wollen losfahren.
einstellen,,add English meaning,Die Firma wird in diesem Jahr drei neue Leute einstellen.
eintragen,,add English meaning,Tragen Sie sich bitte in die Liste ein.
eintreten,,add English meaning,'eintreten' kommt in vielen Texten vor.
Eintritt,der,add English meaning,Der Eintritt passt gut zu diesem Thema.
einverstanden,,add English meaning,"Als Termin schlage ich den Mai vor. – Gut, einverstanden!"
Einwohner,der,add English meaning,Berlin hat über drei Millionen Einwohner.
einzahlen,,add English meaning,Ich habe gestern Geld auf mein Bankkonto eingezahlt.
Einzahlung,die,add English meaning,Sie sollten die Einzahlung pünktlich machen.
einzeln Einzeldie Einzelheit,,add English meaning,"Dieses Mineralwasser gibt es nur als Sechserpack, nicht einzeln."
einzigeinziehen,,add English meaning,Wir waren die einzigen Gäste.
Eis,das,add English meaning,Im Winter gibt es Eis und Schnee.
Eis Glace/Glacé,das,add English meaning,Das Eis Glace kommt in der Prüfung vor.
Eisenbahn,die,add English meaning,Die Kinder wünschen sich eine elektrische Eisenbahn.
elegant,,add English meaning,Ich finde dein Kleid sehr elegant.
elektrisch Elektroelektronisch,,add English meaning,"Wir kochen nicht mit Gas, sondern elektrisch. z.B. Elektrogeschäft, Elektroingenieur, Elektroherd Wir sollten die Daten elektronisch bearbeiten, sonst dauert es zu lange."
Eltern,die,add English meaning,Ich wohne noch bei meinen Eltern.
empfangen,,add English meaning,Wir können mit unserem Fernseher über 30 Programme empfangen.
Empfang,der,add English meaning,Bitte den Empfang bestätigen! Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehr schlecht. Zur Firmeneröffnung bitten wir zu einem kleinen Empfang.
Empfänger,der,add English meaning,Es fehlt die genaue Adresse des Empfängers. Was können Sie mir denn empfehlen?
Empfehlung,die,add English meaning,Ich rufe auf Empfehlung von Herrn Weber an.
enden,,add English meaning,Die Straße endet hier.
Ende,das,add English meaning,Das Ende kommt in der Prüfung vor.
endgültig,,add English meaning,'endgültig' kommt in vielen Texten vor.
endlich,,add English meaning,Endlich haben wir eine schöne Wohnung gefunden.
Energie,die,add English meaning,Wir müssen Energie sparen.
eng,,add English meaning,Die Jacke ist mir zu eng.
Enkel,der,add English meaning,Alle meine Enkel gehen schon zur Schule.
entdecken,,add English meaning,Ich habe in deinem Brief noch ein paar Fehler entdeckt.
entfernen,,add English meaning,Der Müll muss dringend entfernt werden.
Entfernung,die,add English meaning,Aus dieser Entfernung ist das nicht zu erkennen.
entgegenkommen,,add English meaning,Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen.
enthalten,,add English meaning,Diese Schokolade enthält nur sehr wenig Zucker.
entlang,,add English meaning,Gehen Sie diese Straße entlang. Dann kommen Sie direkt zum Bahnhof.
entlassen,,add English meaning,Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen.
Entlassung,die,add English meaning,Die Entlassung ist heute wichtig.
entscheiden,,add English meaning,"Das kann ich nicht allein entscheiden, da muss ich erst fragen."
Entscheidung,die,add English meaning,Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.
unentschieden,,add English meaning,Es steht unentschieden zwischen den beiden Mannschaften.
sich entschließen,,add English meaning,"Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen."
entschlossen,,add English meaning,"Ich bin fest entschlossen, diese Ausbildung fertigzumachen."
entschuldigen,,add English meaning,"Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem."
Entschuldigung,die,add English meaning,"Oh, Entschuldigung! – Macht nichts. Kein Problem."
entsorgen,,add English meaning,Wie kann ich meine alte Kaffeemaschine entsorgen?
entspannend,,add English meaning,Der Urlaub war sehr entspannend.
entstehen,,add English meaning,Hier entsteht ein neues Einkaufszentrum.
enttäuschen,,add English meaning,Leider hat mich sein Verhalten enttäuscht.
Enttäuschung,die,add English meaning,Das Endspiel war eine große Enttäuschung.
entweder ... oder,,add English meaning,"Nur einer kann gewinnen, entweder du oder ich."
entwickeln,,add English meaning,Unser Sohn entwickelt sich gut in der Schule.
Entwicklung,die,add English meaning,Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.
Erde,die,add English meaning,Die Pflanzen brauchen neue Erde.
Erdapfel,der,add English meaning,Kann ich bitte noch Erdäpfel ffel bekommen?
Erdgeschoss/ Ergeschoß,das,add English meaning,Alle Zeitungen haben über diese Ereignisse berichtet.
Ereignis,das,add English meaning,Das Ereignis passt gut zu diesem Thema.
sich ereignen,,add English meaning,Ich übe das reflexive Verb 'ereignen'.
erfahren,,add English meaning,Wann erfahren wir das Ergebnis der Prüfung?
Erfahrung,die,add English meaning,Ich habe zehn Jahre Erfahrung in diesem Beruf.
erfinden,,add English meaning,Das Rad wurde vor ca. 6000 Jahren erfunden.
Erfindung,die,add English meaning,Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.
Erfolg,der,add English meaning,Der Film war ein großer Erfolg.
erfolgreich,,add English meaning,Ich kann 'erfolgreich' in einem Satz benutzen.
erforderlich,,add English meaning,Hier ist die Liste der erforderlichen Zutaten für den Kuchen.
erfordern,,add English meaning,Dieser Job erfordert viel Kraft.
erfüllen,,add English meaning,Sie müssen den Vertrag in allen Punkten erfüllen.
ergänzen,,add English meaning,Ergänzen Sie bitte die fehlenden Angaben.
Ergebnis,das,add English meaning,Ein so gutes Ergebnis hat uns alle überrascht.
erhalten,,add English meaning,Ihr Schreiben vom Januar haben wir erhalten.
erhöhen,,add English meaning,Die Regierung wird sicher bald wieder die Steuern erhöhen.
Erhöhung,die,add English meaning,Wir streiken für eine Lohnerhöhung.
sich erholen,,add English meaning,Im Urlaub habe ich mich sehr gut erholt.
Erholung,die,add English meaning,Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.
erinnern,,add English meaning,Ich wiederhole heute 'erinnern'.
Erinnerung,die,add English meaning,An diese Zeit habe ich viele schöne Erinnerungen.
sich erkälten,,add English meaning,Ich übe das reflexive Verb 'erkälten'.
erkältet,,add English meaning,Ich bin stark erkältet.
Erkältung,die,add English meaning,Du hast eine schlimme Erkältung!
erkennen,,add English meaning,Ich habe Roberto gleich an seiner Stimme erkannt.
erklären,,add English meaning,"Kannst du mir erklären, wie man diesen Apparat bedient?"
Erklärung,die,add English meaning,Hast du schon die Steuererklärung gemacht?
sich erkundigen,,add English meaning,Hast du dich schon nach einem Zug erkundigt?
erlauben,,add English meaning,"Ich erlaube meinen Kindern nicht, so lange fernzusehen."
Erlaubnis,die,add English meaning,Sie hätten ihn vorher um Erlaubnis bitten müssen.
erleben,,add English meaning,In unserem Urlaub haben wir viel Schönes erlebt.
Erlebnis,das,add English meaning,Die Reise war ein tolles Erlebnis.
erledigen,,add English meaning,Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?
erleichtern,,add English meaning,"Ich bin erleichtert, dass alles so gut geklappt hat."
Ermäßigung,die,add English meaning,Es gibt eine Ermäßigung für Kinder und Senioren.
ernähren,,add English meaning,Wie ernähre ich mich richtig?
Ernährung,die,add English meaning,Die Ernährung passt gut zu diesem Thema.
ernst,,add English meaning,Der starke Verkehr ist ein ernstes Problem.
ernsthaft,,add English meaning,Ich kann 'ernsthaft' in einem Satz benutzen.
Ernte,die,add English meaning,Die Ernte ist dieses Jahr gut.
eröffnen,,add English meaning,Mein Nachbar hat letzten Monat ein Geschäft eröffnet.
Eröffnung,die,add English meaning,"Juni. Wenn wir uns beeilen, erreichen wir noch den 8-Uhr-Zug."
erreichen,,add English meaning,Das Wort 'erreichen' ist im Alltag nützlich.
erschöpft,,add English meaning,Nach dem Sport bin ich immer sehr erschöpft.
erschrecken,,add English meaning,Du hast richtig krank ausgesehen. Ich war ganz erschrocken.
ersetzen,,add English meaning,Wir ersetzen Ihnen die Kosten.
Ersatz,der,add English meaning,Der Ersatz passt gut zu diesem Thema.
erst,,add English meaning,Sofia ist erst 20 Jahre alt.
ersterstellen,,add English meaning,Ich war zum ersten Mal allein im Urlaub.
erwachsen,,add English meaning,Die Kinder sind schon fast erwachsen.
Erwachsene,der,add English meaning,"Erwachsene zahlen 5 Euro, für Kinder ist der Eintritt frei."
erwarten,,add English meaning,Ich erwarte einen Anruf aus Berlin.
erzählen,,add English meaning,Mein Mann hat mir schon viel von Ihnen erzählt.
Erzählung,die,add English meaning,Diese Erzählung ist sehr berühmt. Du musst sie lesen.
erziehen,,add English meaning,Kinder zu erziehen ist nicht leicht.
Erziehung,die,add English meaning,Heute kümmern sich auch viele Väter um die Erziehung der Kinder.
es,,add English meaning,Mein Auto muss in die Werkstatt. Es ist kaputt.
essen,,add English meaning,Haben Sie schon zu Mittag gegessen?
Essen,das,add English meaning,Darf ich Sie zum Essen einladen?
etwa,,add English meaning,Von hier sind es etwa zwanzig Kilometer.
etwas,,add English meaning,Ich muss dir etwas erzählen.
eventuell,,add English meaning,Ich komme eventuell etwas später.
ewig,,add English meaning,Ich warte schon ewig auf mein neues Auto!
Experte,der,add English meaning,Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.
Fabrik,die,add English meaning,Ich arbeite in einer Autofabrik.
Fach,das,add English meaning,Die Handtücher sind im obersten Fach links.
Export,der,add English meaning,"Hier ist die Firma Schulz, Import und Export."
Fachmann,der,add English meaning,Der Fachmann ist heute wichtig.
Fachfrau,die,add English meaning,Die Fachfrau steht auf meiner Liste.
extra,,add English meaning,Die Getränke kosten extra.
Fachleute,die,add English meaning,Die Fachleute ist ein nützliches Wort.
Fähigkeit,die,add English meaning,"In seiner Position braucht man die Fähigkeit, andere zu überzeugen."
fahren,,add English meaning,Wir sind mit dem Zug gefahren.
gefahren,,add English meaning,Fahr nicht so schnell. Frau Koch fährt einen Mercedes. Soll ich dich nach Hause fahren? Er hat das Auto in die Garage gefahren.
Fähre,die,add English meaning,Die Fähre kommt in der Prüfung vor.
extrem,,add English meaning,Die Prüfung war extrem schwer.
Fahrbahn,die,add English meaning,Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.
Fahrer,der,add English meaning,Die Fahrerin des Wagens wurde nicht verletzt.
Fahrplan,der,add English meaning,Der Fahrplan hat sich geändert. Haben Sie schon den neuen Sommerfahrplan?
Fahrrad,das,add English meaning,"D, A: Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit."
Fahrzeug,das,add English meaning,Wem gehört das Fahrzeug?
fair,,add English meaning,"Ich finde, unsere Mannschaft hat sehr fair gespielt."
Faktor,der,add English meaning,Die Creme hat einen hohen Sonnenschutzfaktor.
Fall,der,add English meaning,Was würden Sie in diesem Fall tun?
fallen,,add English meaning,Das Glas ist auf den Boden gefallen.
fällig,,add English meaning,Die Rechnung ist Énde des Monats fällig.
falls,,add English meaning,"Falls es regnet, machen wir kein Picknick."
falsch,,add English meaning,"Tut mir leid, ich habe die falsche Nummer gewählt."
Familie,die,add English meaning,Ich habe eine große Familie.
Familienstand Personenstand; CH: Zivilstand,der,add English meaning,Der Familienstand Personenstand; CH: Zivilstand kommt in der Prüfung vor.
fangen,,add English meaning,Das Kind hat den Ball gefangen.
Fantasie/Phantasie,die,add English meaning,Mein Sohn malt sehr gut. Er hat viel Fantasie.
fantastisch,,add English meaning,Ich übe das Wort 'fantastisch'.
Farbe,die,add English meaning,Welche Farbe magst du am liebsten?
farbig,,add English meaning,Ich wiederhole heute 'farbig'.
Fasching,der,add English meaning,D: Dort hängt mein Kostüm für den Faschings(um)zug.
Fasnacht Fasching; D: Karneval,die,add English meaning,Die Fasnacht Fasching; D: Karneval passt gut zu diesem Thema.
fassen,,add English meaning,Sie haben den Dieb gefasst.
fast,,add English meaning,Das Konzent ist fast zu Ende.
faul,,add English meaning,Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig.
faulenzen,,add English meaning,Am Wochenende können wir faulenzen.
fehlen,,add English meaning,"1 Auf dem Brief fehlt der Absender. Hast du Kleingeld? Mir fehlt ein Euro. In der Kasse fehlen 20 Euro. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen. Was fehlt Ihnen? Haben Sie Schmerzen?"
Fehler,der,add English meaning,"Ich glaube, da haben Sie einen Fehler gemacht."
Feier,die,add English meaning,Die Feier steht auf meiner Liste.
Feierabend,der,add English meaning,Der Feierabend kommt in der Prüfung vor.
Feiertag,der,add English meaning,Der Feiertag ist ein nützliches Wort.
Feld,das,add English meaning,Auf diesem Feld wächst Gemüse.
Fenster,das,add English meaning,Das Fenster ist heute wichtig.
Ferien A: Urlaub Feriendie Fernbedienung,die,add English meaning,Die Ferien A: Urlaub Feriendie Fernbedienung steht auf meiner Liste.
fernsehen,,add English meaning,Meine Kinder dürfen abends nur eine Stunde fernsehen.
Fernsehen,das,add English meaning,Was gibt es heute Abend im Fernsehen?
Fernseher,der,add English meaning,Das Essen ist gleich fertig.
fest,,add English meaning,"Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt."
Fest,das,add English meaning,"Wenn ich 18 werde, feiern wir ein großes Fest."
Festplatte,die,add English meaning,Mein Computer hat eine große Festplatte.
festhalten,,add English meaning,Halt dich gut fest.
festlegen,,add English meaning,"Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen."
festnehmen nimmt fest,,add English meaning,Die Polizei hat einen Mann festgenommen.
festsetzen,,add English meaning,Die Schule hat den Termin für die Prüfung festgesetzt.
feststehen,,add English meaning,Der Termin steht seit Langem fest.
feststellen,,add English meaning,"Er hat festgestellt, dass der Absender des Briefes falsch war."
fett,,add English meaning,Die Wurst ist mir zu fett.
Fett,das,add English meaning,Das Fett ist heute wichtig.
feucht,,add English meaning,Die Wäsche ist noch feucht.
Feuer,das,add English meaning,Der Schaden durch das Feuer war sehr groß.
Feuerzeug,das,add English meaning,Das Feuerzeug ist ein nützliches Wort.
Feuerwehr,die,add English meaning,-en Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: Plötzlich habe ich hohes Fieber bekommen.
Fieber,das,add English meaning,Das Fieber ist heute wichtig.
Figur,die,add English meaning,Lars hat eine gute Figur.
Film,der,add English meaning,Den Film musst du dir unbedingt ansehen.
finanzieren,,add English meaning,"Ich weiß nicht, wie ich das Auto rt finanzieren soll. finanziell Finanziell geht es meinem Neffen jetzt besser."
finanziell,,add English meaning,Dieses Wort heißt 'finanziell'.
finden,,add English meaning,Ich übe das Verb 'finden'.
gefunden,,add English meaning,gefunden. Ich kann meinen Schlüssel nicht finden. Luigi finde ich sehr nett.
Finger,der,add English meaning,Alessandro hat sich in den Finger geschnitten. Seit wann arbeiten Sie bei dieser Firma?
flach,,add English meaning,Für die Arbeit brauche ich flache Schuhe.
Fläche,die,add English meaning,Unsere Wohnung hat eine Wohnfläche von 100 m².
Flasche,die,add English meaning,Wo kann man die leeren Flaschen zurückgeben?
Fleck,der,add English meaning,Du hast einen Fleck auf der Bluse.
Fleisch,das,add English meaning,Fleisch mag ich nicht.
Fleischhauer,der,add English meaning,Der Fleischhauer ist ein nützliches Wort.
fleißig,,add English meaning,Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.
flexibel,,add English meaning,Meine Arbeitszeit ist flexibel.
fliegen,,add English meaning,Der Vogel ist auf einen Baum geflogen.
fliehen,,add English meaning,Der Einbrecher ist sofort geflohen.
Flucht,die,add English meaning,Der Einbrecher war schon auf der Flucht.
fließen,,add English meaning,Dieser Fluss fließt in die Nordsee.
geflossen,,add English meaning,Das Wort 'geflossen' ist im Alltag nützlich.
fließend,,add English meaning,Mein Kollege spricht fließend Deutsch.
Flohmarkt,der,add English meaning,Diesen Hut habe ich am Flohmarkt gekauft.
Flöte,die,add English meaning,Sie spielt sehr schön Flöte.
Flug,der,add English meaning,Ich habe den Flug für Sie gebucht.
Flughafen,der,add English meaning,Der Flughafen liegt 30 km außerhalb der Stadt. Das Flugzeug ist gerade gelandet.
Flur,der,add English meaning,"D, CH:Wir warten draußen im Flur."
Fluss,der,add English meaning,Wie heißt dieser Fluss?
Flüssigkeit,die,add English meaning,Dieses Medikament mit viel Flüssigkeit einnehmen.
folgen,,add English meaning,Es folgen die Nachrichten.
Folge,die,add English meaning,Die Folgen des Unfalls waren schlimm.
folgend,,add English meaning,Mehr Informationen auf den folgenden Seiten.
fordern,,add English meaning,Die Arbeitnehmer fordern mehr Geld.
Forderung,die,add English meaning,Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.
fördern,,add English meaning,Die Stadt fördert viele Sportprojekte.
Förderung,die,add English meaning,Für das Projekt bekommen wir eine Förderung von der Stadt.
Form,die,add English meaning,Diese Schuhe haben eine schöne Form.
Formular,das,add English meaning,Füllen Sie bitte dieses Formular aus.
Forschung,die,add English meaning,Er arbeitet in der Forschung.
Fortbildung,die,add English meaning,"Die Fortbildung, die ich machen will, ist sehr teuer."
Fortschritt,der,add English meaning,Ich habe beim Deutschlernen große Fortschritte gemacht.
fortsetzen,,add English meaning,Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.
Fortsetzung,die,add English meaning,Fortsetzung folgt.
Forum,das,add English meaning,Ich melde mich heute bei diesem Forum an.
fotografieren,,add English meaning,Ich fotografiere gern.
Foto,das,add English meaning,-s Können Sie dieses Foto vergrößern? Ich möchte mir einen Fotoapparat kaufen.
Fotoapparat,der,add English meaning,Der Fotoapparat steht auf meiner Liste.
Fotograf,der,add English meaning,n Die Fotografin hat sehr schöne Fotos gemacht.
Fotografie,die,add English meaning,Darf ich Sie etwas fragen?
fragen,,add English meaning,Dieses Verb heißt 'fragen'.
Frage,die,add English meaning,Ich habe Ihre Frage leider nicht verstanden.
Frau,die,add English meaning,Die Frau steht auf meiner Liste.
frech,,add English meaning,Du darfst in der Schule nicht so frech sein.
frei,,add English meaning,Ist dieser Platz noch frei?
im Freien,,add English meaning,Ich wiederhole heute 'im Freien'.
Freiheit,die,add English meaning,Die Freiheit ist heute wichtig.
Freizeit,die,add English meaning,Die Freizeit steht auf meiner Liste.
freiwillig,,add English meaning,Manchmal bleibe ich freiwillig länger im Büro.
fremd,,add English meaning,Ich reise gern in fremde Länder.
fressen,,add English meaning,Hat der Hund schon etwas zu fressen bekommen?
sich freuen,,add English meaning,"Es freut mich, dass alles so gut geklappt hat."
Freude,die,add English meaning,Diese Arbeit macht mir viel Freude.
Freund,der,add English meaning,Ich sehe meine Freunde nur am Wochenende.
freundlich,,add English meaning,Er hat uns sehr freundlich begrüßt.
Freundschaft,die,add English meaning,Deine Freundschaft ist mir sehr wichtig.
Friede,der,add English meaning,"Wenn Sie frieren, mache ich das Fenster wieder zu."
frisch,,add English meaning,Das Brot ist noch ganz frisch.
Friseur,der,add English meaning,Du siehst toll aus! Wer ist dein Friseur?
Friseurin,die,add English meaning,Meine Tochter will Friseurin werden.
Frisur,die,add English meaning,Du hast eine tolle Frisur! Warst du beim Friseur?
Frist,die,add English meaning,Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.
froh,,add English meaning,"Ich bin froh, dass alles so gut geklappt hat."
fröhlich,,add English meaning,Ich wiederhole heute 'fröhlich'.
Frucht,die,add English meaning,Welche Früchte kann man essen? Obst Früchte kaufe ich am liebsten auf dem Markt.
früh,,add English meaning,Hier ist schon am frühen Morgen starker Verkehr.
früher/früherfrühstücken,,add English meaning,Früher habe ich in Berlin gewohnt.
Frühstück,das,add English meaning,Das Frühstück steht auf meiner Liste.
fühlen,,add English meaning,"Wie fühlen Sie sich? Danke, ich fühle mich wohl."
führen,,add English meaning,Der Lehrer führt seine Schüler durch das Museum.
Führerausweis,der,add English meaning,"Hast du einen Führerschein? CH: Führerausweis2. Ich habe vor einem halben Jahr den Führerschein gemacht. Führung, -en Die nächste Führung beginnt um 15 Uhr."
Führerschein,der,add English meaning,Der Führerschein ist heute wichtig.
Führung,die,add English meaning,Die Führung steht auf meiner Liste.
Fundbüro,das,add English meaning,Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.
funktionieren,,add English meaning,'funktionieren' kommt in vielen Texten vor.
für,,add English meaning,Ist Post für mich da?
Gabel,die,add English meaning,Wir brauchen bitte noch eine Gabel.
Galerie,die,add English meaning,Diese Galerie ist sehr interessant.
furchtbar fürchten,,add English meaning,Dennis hat furchtbare Schmerzen.
Gang,der,add English meaning,Der Gang ist ein nützliches Wort.
Fuß,der,add English meaning,Er hat sich den linken Fuß gebrochen.
Fußball,der,add English meaning,Spielt ihr gerne Fußball?
ganz,,add English meaning,Ich habe den ganzen Tag noch nichts gegessen.
Fußgänger,der,add English meaning,Dieser Weg ist nur für Fußgänger.
Fußgängerzone,die,add English meaning,Wir treffen uns um 15 Uhr in der Fußgängerzone.
füttern,,add English meaning,"Es ist im Zoo nicht erlaubt, die Tiere zu füttern."
gar,,add English meaning,Die Kartoffeln sind noch nicht gar.
Garage,die,add English meaning,Hier ist eine Garage zu vermieten.
garantieren,,add English meaning,"Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist."
Garantie,die,add English meaning,Auf die Waschmaschine haben Sie ein Jahr Garantie.
Garderobe,die,add English meaning,Die Mäntel bitte an der Garderobe abgeben.
Garten,der,add English meaning,Wir kochen mit Gas.
Gast,der,add English meaning,Wir haben heute Abend Gäste.
Gasthaus,das,add English meaning,) Gehen wir noch in ein Gasthaus ein Bier trinken?
Gaststätte,die,add English meaning,(D) Ich arbeite seit einem Monat in einer Gaststätte.
Gebäude,das,add English meaning,Geben Sie mir bitte eine Quittung!
Gebäck,das,add English meaning,Das Gebäck ist ganz frisch.
Gebiet,das,add English meaning,In diesem Gebiet gibt es kaum Industrie.
Gebirge,das,add English meaning,Wir haben unseren Urlaub im Gebirge verbracht.
geboren werden,,add English meaning,Wann und wo sind Sie geboren?
geboren,,add English meaning,Dieses Verb heißt 'geboren'.
gebrauchen,,add English meaning,Wir können diese Möbel gut gebrauchen.
Gebrauchsanweisung,die,add English meaning,Lesen Sie bitte zuerst die -en Gebrauchsanweisung. Die Gebühr liegt bei 60 Euro.
Gebühr,die,add English meaning,Die Gebühr kommt in der Prüfung vor.
Geburt,die,add English meaning,Wir gratulieren zur Geburt eures Kindes!
Geburtstag,der,add English meaning,-e Herzlichen Glückwunsch zum Geburtstag! Kennst du ein schönes Gedicht?
Gedicht,das,add English meaning,Das Gedicht ist heute wichtig.
Geduld,die,add English meaning,Die Geduld steht auf meiner Liste.
geehrt,,add English meaning,'geehrt' kommt in vielen Texten vor.
geeignet,,add English meaning,Dieses Spiel ist nicht für Kinder unter drei Jahren geeignet.
Gefahr,die,add English meaning,Betreten der Baustelle auf eigene Gefahr.
gefährlich,,add English meaning,"Achtung, hier ist eine gefährliche Kurve!"
gefallen,,add English meaning,Wie gefällt es Ihnen hier?
sich etwas gefallen lassen,,add English meaning,Das würde ich mir nicht gefallen lassen.
lassen,,add English meaning,Dieses Wort heißt 'lassen'.
Gefängnis,das,add English meaning,Er wurde zu fünf Jahren Gefängnis verurteilt.
Gefühl,das,add English meaning,"Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl."
gegen,,add English meaning,Ich bin gegen einen Baum gefahren.
Gegner,der,add English meaning,Sie ist eine Gegnerin von Tierversuchen.
Gegensatz,der,add English meaning,Diese beiden Meinungen stehen in starkem Gegensatz zueinander.
Gegenstand,der,add English meaning,Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein.
Gegenteil,das,add English meaning,Das Gegenteil von „klein“ ist „groß“.
gegenüber,,add English meaning,Das Geschäft liegt direkt gegenüber der Post.
Gehalt,das,add English meaning,Ich bin mit meinem Gehalt zufrieden.
Geheimnis,das,add English meaning,Das kann ich dir nicht sagen. Das ist ein Geheimnis. geheim Das ist geheim. Du darfst es niemandem sagen.
geheim,,add English meaning,Ich wiederhole heute 'geheim'.
gehen,,add English meaning,Ich gehe jeden Morgen zu Fuß zur Arbeit.
gehören,,add English meaning,"e, Gehört Ihnen das Haus?"
Gehsteig Trottoir,der,add English meaning,Der Gehsteig Trottoir kommt in der Prüfung vor.
Geld,das,add English meaning,Ich habe nicht genug Geld dabei.
Geldautomat,der,add English meaning,Der Geldautomat passt gut zu diesem Thema.
Gelegenheit,die,add English meaning,"Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen."
gelingen,,add English meaning,"ng, Es ist mir gelungen, meinen Chef zu überzeugen."
gelten,,add English meaning,Mein Pass gilt noch ein Jahr.
gemeinsam,,add English meaning,Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen.
Gemeinschaft,die,add English meaning,Rauchen ist in den Gemeinschafts-räumen nicht erlaubt.
Gemüse,das,add English meaning,Wir kaufen das Gemüse direkt beim Bauern.
gemütlich,,add English meaning,Wir haben eine sehr gemütliche Wohnung.
genau,,add English meaning,Haben Sie die genaue Zeit?
genauso,,add English meaning,Katarina sieht genauso aus wie ihre Schwester.
genehmigen,,add English meaning,Mein Chef hat mir sechs Wochen Urlaub genehmigt.
Generation,die,add English meaning,In diesem Haus wohnen drei Generationen zusammen.
genießen,,add English meaning,"Er kann das Essen leider nicht genießen, weil es zu scharf ist."
genug,,add English meaning,Es ist noch genug Suppe da.
genügen,,add English meaning,Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer-Wohnung.
Gepäck,das,add English meaning,Ich habe mein Gepäck am Bahnhof gelassen.
gerade,,add English meaning,Das Bild hängt nicht gerade.
geradeaus,,add English meaning,Fahren Sie geradeaus bis zur nächsten Kreuzung.
Gerät,das,add English meaning,Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.
gerecht,,add English meaning,Lass uns den Kuchen gerecht verteilen.
Gericht,das,add English meaning,Ich habe heute Vormittag einen Termin beim Gericht.
gering,,add English meaning,Unsere Mannschaft hatte nur eine geringe Chance.
gern/gerne,,add English meaning,Ich helfe Ihnen gern.
gesamt-/Gesamtdas Geschäft,,add English meaning,Ich habe meine gesamten Bücher verschenkt.
geschehen,,add English meaning,Vielen Dank für Ihre Hilfe. – Gern geschehen.
Geschenk,das,add English meaning,Vielen Dank für das Geschenk.
Geschichte,die,add English meaning,Ich interessiere mich nicht für Geschichte.
geschieden,,add English meaning,Ich bin seit drei Jahren geschieden.
Geschirr,das,add English meaning,Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.
Geschlecht,das,add English meaning,Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.
Geschmack,der,add English meaning,Ich möchte bitte Kaugummi mit Erdbeergeschmack.
Geschwindigkeit,die,add English meaning,Das Auto fuhr mit zu hoher Geschwindigkeit.
Geschwindigkeitsbeschränkung,die,add English meaning,Bitte beachten Sie die Geschwindigkeitsbeschränkungen.
Geschwister,die,add English meaning,Die Geschwister sehen sich nur selten.
Gesellschaft,die,add English meaning,Er will die Gesellschaft verändern.
Gesetz,das,add English meaning,Das Parlament hat ein neues Gesetz beschlossen.
Gesicht,das,add English meaning,Wasch dir bitte das Gesicht.
gespannt,,add English meaning,"Ich bin gespannt, wer bei diesem Spiel gewinnt."
Gespräch,das,add English meaning,Herr Müller ist gerade in einem Gespräch.
