word,article,english,example
entgegenkommen,,to come toward; to accommodate,Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen.
enthalten,,to contain,Diese Schokolade enthält nur sehr wenig Zucker.
entlang,,along,Gehen Sie diese Straße entlang. Dann kommen Sie direkt zum Bahnhof.
entlassen,,to dismiss; to release,Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen.
Entlassung,die,dismissal; release,Die Entlassung ist heute wichtig.
entscheiden,,to decide,"Das kann ich nicht allein entscheiden, da muss ich erst fragen."
Entscheidung,die,decision,Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.
unentschieden,,tied; undecided,Es steht unentschieden zwischen den beiden Mannschaften.
sich entschließen,,to decide; to make up one’s mind,"Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen."
entschlossen,,determined,"Ich bin fest entschlossen, diese Ausbildung fertigzumachen."
entschuldigen,,to excuse; to apologize,"Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem."
Entschuldigung,die,apology; excuse,"Oh, Entschuldigung! – Macht nichts. Kein Problem."
entsorgen,,to dispose of,Wie kann ich meine alte Kaffeemaschine entsorgen?
entspannend,,relaxing,Der Urlaub war sehr entspannend.
entstehen,,to arise; to develop,Hier entsteht ein neues Einkaufszentrum.
enttäuschen,,to disappoint,Leider hat mich sein Verhalten enttäuscht.
Enttäuschung,die,disappointment,Das Endspiel war eine große Enttäuschung.
entweder ... oder,,either ... or,"Nur einer kann gewinnen, entweder du oder ich."
entwickeln,,to develop,Unser Sohn entwickelt sich gut in der Schule.
Entwicklung,die,development,Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.
Erde,die,earth; soil,Die Pflanzen brauchen neue Erde.
Erdapfel,der,potato,Kann ich bitte noch Erdäpfel bekommen?
Erdgeschoss/Ergeschoß,das,ground floor,Wir wohnen im Erdgeschoss.
Ereignis,das,event,Das Ereignis passt gut zu diesem Thema.
sich ereignen,,to happen; to occur,Ich übe das reflexive Verb 'ereignen'.
erfahren,,to learn; to find out; to experience,Wann erfahren wir das Ergebnis der Prüfung?
Erfahrung,die,experience,Ich habe zehn Jahre Erfahrung in diesem Beruf.
erfinden,,to invent,Das Rad wurde vor ca. 6000 Jahren erfunden.
Erfindung,die,invention,Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.
Erfolg,der,success,Der Film war ein großer Erfolg.
erfolgreich,,successful,Ich kann 'erfolgreich' in einem Satz benutzen.
erforderlich,,required; necessary,Hier ist die Liste der erforderlichen Zutaten für den Kuchen.
erfordern,,to require,Dieser Job erfordert viel Kraft.
erfüllen,,to fulfill,Sie müssen den Vertrag in allen Punkten erfüllen.
ergänzen,,to complete; to add,Ergänzen Sie bitte die fehlenden Angaben.
Ergebnis,das,result,Ein so gutes Ergebnis hat uns alle überrascht.
erhalten,,to receive; to obtain,Ihr Schreiben vom Januar haben wir erhalten.
erhöhen,,to increase; to raise,Die Regierung wird sicher bald wieder die Steuern erhöhen.
Erhöhung,die,increase; raise,Wir streiken für eine Lohnerhöhung.
sich erholen,,to recover; to relax,Im Urlaub habe ich mich sehr gut erholt.
Erholung,die,recovery; relaxation,Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.
erinnern,,to remember; to remind,Ich wiederhole heute 'erinnern'.
Erinnerung,die,memory; reminder,An diese Zeit habe ich viele schöne Erinnerungen.
sich erkälten,,to catch a cold,Ich übe das reflexive Verb 'erkälten'.
erkältet,,having a cold,Ich bin stark erkältet.
Erkältung,die,cold,Du hast eine schlimme Erkältung!
erkennen,,to recognize,Ich habe Roberto gleich an seiner Stimme erkannt.
erklären,,to explain,"Kannst du mir erklären, wie man diesen Apparat bedient?"
Erklärung,die,explanation; declaration,Hast du schon die Steuererklärung gemacht?
sich erkundigen,,to inquire,Hast du dich schon nach einem Zug erkundigt?
erlauben,,to allow; to permit,"Ich erlaube meinen Kindern nicht, so lange fernzusehen."
Erlaubnis,die,permission,Sie hätten ihn vorher um Erlaubnis bitten müssen.
erleben,,to experience,In unserem Urlaub haben wir viel Schönes erlebt.
Erlebnis,das,experience; event,Die Reise war ein tolles Erlebnis.
erledigen,,to take care of; to complete,Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?
erleichtern,,to relieve; to make easier,"Ich bin erleichtert, dass alles so gut geklappt hat."
Ermäßigung,die,discount; reduction,Es gibt eine Ermäßigung für Kinder und Senioren.
ernähren,,to feed; to nourish oneself,Wie ernähre ich mich richtig?
Ernährung,die,nutrition,Die Ernährung passt gut zu diesem Thema.
ernst,,serious,Der starke Verkehr ist ein ernstes Problem.
ernsthaft,,serious; seriously,Ich kann 'ernsthaft' in einem Satz benutzen.
Ernte,die,harvest,Die Ernte ist dieses Jahr gut.
eröffnen,,to open; to launch,Mein Nachbar hat letzten Monat ein Geschäft eröffnet.
Eröffnung,die,opening,Die Eröffnung findet im Juni statt.
erreichen,,to reach; to achieve,"Wenn wir uns beeilen, erreichen wir noch den 8-Uhr-Zug."
erschöpft,,exhausted,Nach dem Sport bin ich immer sehr erschöpft.
erschrecken,,to be startled; to frighten,Du hast richtig krank ausgesehen. Ich war ganz erschrocken.
ersetzen,,to replace; to reimburse,Wir ersetzen Ihnen die Kosten.
Ersatz,der,replacement; substitute,Der Ersatz passt gut zu diesem Thema.
erst,,only; not until; first,Sofia ist erst 20 Jahre alt.
erst / erstellen,,first; to create,Ich war zum ersten Mal allein im Urlaub.
erwachsen,,adult; grown-up,Die Kinder sind schon fast erwachsen.
Erwachsene,der,adult,"Erwachsene zahlen 5 Euro, für Kinder ist der Eintritt frei."
erwarten,,to expect,Ich erwarte einen Anruf aus Berlin.
erzählen,,to tell; to narrate,Mein Mann hat mir schon viel von Ihnen erzählt.
Erzählung,die,story; narration,Diese Erzählung ist sehr berühmt. Du musst sie lesen.
erziehen,,to raise; to educate,Kinder zu erziehen ist nicht leicht.
Erziehung,die,upbringing; education,Heute kümmern sich auch viele Väter um die Erziehung der Kinder.
es,,it,Mein Auto muss in die Werkstatt. Es ist kaputt.
essen,,to eat,Haben Sie schon zu Mittag gegessen?
Essen,das,food; meal,Darf ich Sie zum Essen einladen?
etwa,,about; approximately,Von hier sind es etwa zwanzig Kilometer.
etwas,,something,Ich muss dir etwas erzählen.
eventuell,,possibly; perhaps,Ich komme eventuell etwas später.
ewig,,eternal; forever,Ich warte schon ewig auf mein neues Auto!
Experte,der,expert,Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.
Fabrik,die,factory,Ich arbeite in einer Autofabrik.
Fach,das,compartment; subject,Die Handtücher sind im obersten Fach links.
Export,der,export,"Hier ist die Firma Schulz, Import und Export."
Fachmann,der,expert; specialist,Der Fachmann ist heute wichtig.
Fachfrau,die,expert; specialist,Die Fachfrau steht auf meiner Liste.
extra,,extra; additional,Die Getränke kosten extra.
Fachleute,die,experts; specialists,Fachleute können Ihnen helfen.
Fähigkeit,die,ability; skill,"In seiner Position braucht man die Fähigkeit, andere zu überzeugen."
fahren,,to drive; to travel,Wir sind mit dem Zug gefahren.
gefahren,,driven; traveled,Fahr nicht so schnell. Frau Koch fährt einen Mercedes. Soll ich dich nach Hause fahren? Er hat das Auto in die Garage gefahren.
Fähre,die,ferry,Die Fähre kommt in der Prüfung vor.
extrem,,extreme; extremely,Die Prüfung war extrem schwer.
Fahrbahn,die,roadway; lane,Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.
Fahrer,der,driver,Die Fahrerin des Wagens wurde nicht verletzt.
Fahrplan,der,timetable; schedule,Der Fahrplan hat sich geändert. Haben Sie schon den neuen Sommerfahrplan?
Fahrrad,das,bicycle,"D, A: Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit."
Fahrzeug,das,vehicle,Wem gehört das Fahrzeug?
fair,,fair,"Ich finde, unsere Mannschaft hat sehr fair gespielt."
Faktor,der,factor,Die Creme hat einen hohen Sonnenschutzfaktor.
Fall,der,case; situation,Was würden Sie in diesem Fall tun?
fallen,,to fall,Das Glas ist auf den Boden gefallen.
fällig,,due,Die Rechnung ist Ende des Monats fällig.
falls,,if; in case,"Falls es regnet, machen wir kein Picknick."
falsch,,wrong; false,"Tut mir leid, ich habe die falsche Nummer gewählt."
Familie,die,family,Ich habe eine große Familie.
Familienstand/Personenstand,der,marital status; civil status,Der Familienstand kommt in der Prüfung vor.
fangen,,to catch,Das Kind hat den Ball gefangen.
Fantasie/Phantasie,die,imagination; fantasy,Mein Sohn malt sehr gut. Er hat viel Fantasie.
fantastisch,,fantastic,Ich übe das Wort 'fantastisch'.
Farbe,die,color,Welche Farbe magst du am liebsten?
farbig,,colored; colorful,Ich wiederhole heute 'farbig'.
Fasching,der,carnival,D: Dort hängt mein Kostüm für den Faschings(um)zug.
Fasnacht/Karneval,die,carnival,Die Fasnacht passt gut zu diesem Thema.
fassen,,to catch; to grasp,Sie haben den Dieb gefasst.
fast,,almost,Das Konzert ist fast zu Ende.
faul,,lazy,Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig.
faulenzen,,to laze around,Am Wochenende können wir faulenzen.
fehlen,,to be missing; to lack,"1 Auf dem Brief fehlt der Absender. Hast du Kleingeld? Mir fehlt ein Euro. In der Kasse fehlen 20 Euro. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen. Was fehlt Ihnen? Haben Sie Schmerzen?"
Fehler,der,mistake; error,"Ich glaube, da haben Sie einen Fehler gemacht."
Feier,die,celebration; party,Die Feier steht auf meiner Liste.
Feierabend,der,end of the workday,Der Feierabend kommt in der Prüfung vor.
Feiertag,der,public holiday,Der Feiertag ist ein nützliches Wort.
Feld,das,field,Auf diesem Feld wächst Gemüse.
Fenster,das,window,Das Fenster ist heute wichtig.
Ferien,die,vacation; holidays,Die Ferien beginnen im Juli.
fernsehen,,to watch TV,Meine Kinder dürfen abends nur eine Stunde fernsehen.
Fernsehen,das,television; TV,Was gibt es heute Abend im Fernsehen?
Fernseher,der,television set; TV,Der Fernseher ist kaputt.
fest,,firm; fixed; firmly,"Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt."
Fest,das,festival; celebration,"Wenn ich 18 werde, feiern wir ein großes Fest."
Festplatte,die,hard drive,Mein Computer hat eine große Festplatte.
festhalten,,to hold on,Halt dich gut fest.
festlegen,,to decide; to commit oneself,"Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen."
festnehmen,,to arrest,Die Polizei hat einen Mann festgenommen.
festsetzen,,to set; to fix,Die Schule hat den Termin für die Prüfung festgesetzt.
feststehen,,to be fixed; to be certain,Der Termin steht seit Langem fest.
feststellen,,to determine; to notice,"Er hat festgestellt, dass der Absender des Briefes falsch war."
fett,,fatty; greasy,Die Wurst ist mir zu fett.
Fett,das,fat; grease,Das Fett ist heute wichtig.
feucht,,damp; moist,Die Wäsche ist noch feucht.
Feuer,das,fire,Der Schaden durch das Feuer war sehr groß.
Feuerzeug,das,lighter,Das Feuerzeug ist ein nützliches Wort.
Feuerwehr,die,fire department; fire brigade,Schnell! Rufen Sie die Feuerwehr!
Fieber,das,fever,Das Fieber ist heute wichtig.
Figur,die,figure; shape,Lars hat eine gute Figur.
Film,der,film; movie,Den Film musst du dir unbedingt ansehen.
finanzieren,,to finance,"Ich weiß nicht, wie ich das Auto finanzieren soll."
finanziell,,financial,Dieses Wort heißt 'finanziell'.
finden,,to find,Ich übe das Verb 'finden'.
gefunden,,found,gefunden. Ich kann meinen Schlüssel nicht finden. Luigi finde ich sehr nett.
Finger,der,finger,Alessandro hat sich in den Finger geschnitten. Seit wann arbeiten Sie bei dieser Firma?
flach,,flat,Für die Arbeit brauche ich flache Schuhe.
Fläche,die,area; surface,Unsere Wohnung hat eine Wohnfläche von 100 m².
Flasche,die,bottle,Wo kann man die leeren Flaschen zurückgeben?
Fleck,der,stain; spot,Du hast einen Fleck auf der Bluse.
Fleisch,das,meat,Fleisch mag ich nicht.
Fleischhauer,der,butcher,Der Fleischhauer ist ein nützliches Wort.
fleißig,,hard-working; diligent,Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.
flexibel,,flexible,Meine Arbeitszeit ist flexibel.
fliegen,,to fly,Der Vogel ist auf einen Baum geflogen.
fliehen,,to flee,Der Einbrecher ist sofort geflohen.
Flucht,die,escape; flight,Der Einbrecher war schon auf der Flucht.
fließen,,to flow,Dieser Fluss fließt in die Nordsee.
geflossen,,flowed,Das Wort 'geflossen' ist im Alltag nützlich.
fließend,,fluent; flowing,Mein Kollege spricht fließend Deutsch.
Flohmarkt,der,flea market,Diesen Hut habe ich am Flohmarkt gekauft.
Flöte,die,flute,Sie spielt sehr schön Flöte.
Flug,der,flight,Ich habe den Flug für Sie gebucht.
Flughafen,der,airport,Der Flughafen liegt 30 km außerhalb der Stadt. Das Flugzeug ist gerade gelandet.
Flur,der,hallway; corridor,"D, CH:Wir warten draußen im Flur."
Fluss,der,river,Wie heißt dieser Fluss?
Flüssigkeit,die,liquid,Dieses Medikament mit viel Flüssigkeit einnehmen.
folgen,,to follow,Es folgen die Nachrichten.
Folge,die,consequence; episode,Die Folgen des Unfalls waren schlimm.
folgend,,following,Mehr Informationen auf den folgenden Seiten.
fordern,,to demand,Die Arbeitnehmer fordern mehr Geld.
Forderung,die,demand; claim,Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.
fördern,,to support; to promote,Die Stadt fördert viele Sportprojekte.
Förderung,die,support; funding,Für das Projekt bekommen wir eine Förderung von der Stadt.
Form,die,form; shape,Diese Schuhe haben eine schöne Form.
Formular,das,form,Füllen Sie bitte dieses Formular aus.
Forschung,die,research,Er arbeitet in der Forschung.
Fortbildung,die,continuing education; professional training,"Die Fortbildung, die ich machen will, ist sehr teuer."
Fortschritt,der,progress,Ich habe beim Deutschlernen große Fortschritte gemacht.
fortsetzen,,to continue,Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.
Fortsetzung,die,continuation,Fortsetzung folgt.
Forum,das,forum,Ich melde mich heute bei diesem Forum an.
fotografieren,,to photograph,Ich fotografiere gern.
Foto,das,photo,Können Sie dieses Foto vergrößern?
Fotoapparat,der,camera,Der Fotoapparat steht auf meiner Liste.
Fotograf,der,photographer,Der Fotograf hat sehr schöne Fotos gemacht.
Fotografie,die,photography,Fotografie ist ihr Hobby.
fragen,,to ask,Dieses Verb heißt 'fragen'.
Frage,die,question,Ich habe Ihre Frage leider nicht verstanden.
Frau,die,woman; Mrs.,Die Frau steht auf meiner Liste.
frech,,cheeky; rude,Du darfst in der Schule nicht so frech sein.
frei,,free; available,Ist dieser Platz noch frei?
im Freien,,outdoors; in the open air,Ich wiederhole heute 'im Freien'.
Freiheit,die,freedom,Die Freiheit ist heute wichtig.
Freizeit,die,free time; leisure time,Die Freizeit steht auf meiner Liste.
freiwillig,,voluntary; voluntarily,Manchmal bleibe ich freiwillig länger im Büro.
fremd,,foreign; strange,Ich reise gern in fremde Länder.
fressen,,to eat (animals),Hat der Hund schon etwas zu fressen bekommen?
sich freuen,,to be happy; to look forward to,"Es freut mich, dass alles so gut geklappt hat."
Freude,die,joy; pleasure,Diese Arbeit macht mir viel Freude.
Freund,der,friend,Ich sehe meine Freunde nur am Wochenende.
freundlich,,friendly,Er hat uns sehr freundlich begrüßt.
Freundschaft,die,friendship,Deine Freundschaft ist mir sehr wichtig.
Friede,der,peace,Wir wünschen uns Frieden.
frisch,,fresh,Das Brot ist noch ganz frisch.
Friseur,der,hairdresser,Du siehst toll aus! Wer ist dein Friseur?
Friseurin,die,female hairdresser,Meine Tochter will Friseurin werden.
Frisur,die,hairstyle,Du hast eine tolle Frisur! Warst du beim Friseur?
Frist,die,deadline; time limit,Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.
froh,,glad; happy,"Ich bin froh, dass alles so gut geklappt hat."
fröhlich,,cheerful; happy,Ich wiederhole heute 'fröhlich'.
Frucht,die,fruit,Welche Früchte kann man essen? Obst Früchte kaufe ich am liebsten auf dem Markt.
früh,,early,Hier ist schon am frühen Morgen starker Verkehr.
früher,,earlier; formerly,Früher habe ich in Berlin gewohnt.
Frühstück,das,breakfast,Das Frühstück steht auf meiner Liste.
fühlen,,to feel,"Wie fühlen Sie sich? Danke, ich fühle mich wohl."
führen,,to lead; to guide,Der Lehrer führt seine Schüler durch das Museum.
Führerausweis,der,driver’s license,Hast du einen Führerausweis?
Führerschein,der,driver’s license,Der Führerschein ist heute wichtig.
Führung,die,guided tour; leadership,Die Führung steht auf meiner Liste.
Fundbüro,das,lost and found office,Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.
funktionieren,,to function; to work,'funktionieren' kommt in vielen Texten vor.
für,,for,Ist Post für mich da?
Gabel,die,fork,Wir brauchen bitte noch eine Gabel.
Galerie,die,gallery,Diese Galerie ist sehr interessant.
furchtbar,,terrible; awful,Dennis hat furchtbare Schmerzen.
Gang,der,hallway; course; gear,Der Gang ist ein nützliches Wort.
Fuß,der,foot,Er hat sich den linken Fuß gebrochen.
Fußball,der,soccer; football,Spielt ihr gerne Fußball?
ganz,,whole; entirely,Ich habe den ganzen Tag noch nichts gegessen.
Fußgänger,der,pedestrian,Dieser Weg ist nur für Fußgänger.
Fußgängerzone,die,pedestrian zone,Wir treffen uns um 15 Uhr in der Fußgängerzone.
füttern,,to feed,"Es ist im Zoo nicht erlaubt, die Tiere zu füttern."
gar,,done; cooked,Die Kartoffeln sind noch nicht gar.
Garage,die,garage,Hier ist eine Garage zu vermieten.
garantieren,,to guarantee,"Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist."
Garantie,die,guarantee; warranty,Auf die Waschmaschine haben Sie ein Jahr Garantie.
Garderobe,die,cloakroom; wardrobe,Die Mäntel bitte an der Garderobe abgeben.
Garten,der,garden,Der Garten ist hinter dem Haus.
Gast,der,guest,Wir haben heute Abend Gäste.
Gasthaus,das,inn; pub,Gehen wir noch in ein Gasthaus ein Bier trinken?
Gaststätte,die,restaurant; pub,Ich arbeite seit einem Monat in einer Gaststätte.
Gebäude,das,building,Das Gebäude ist sehr alt.
Gebäck,das,pastry; baked goods,Das Gebäck ist ganz frisch.
Gebiet,das,area; region,In diesem Gebiet gibt es kaum Industrie.
Gebirge,das,mountains; mountain range,Wir haben unseren Urlaub im Gebirge verbracht.
geboren werden,,to be born,Wann und wo sind Sie geboren?
geboren,,born,Dieses Verb heißt 'geboren'.
gebrauchen,,to use; to need,Wir können diese Möbel gut gebrauchen.
Gebrauchsanweisung,die,instruction manual,Lesen Sie bitte zuerst die Gebrauchsanweisung.
Gebühr,die,fee; charge,Die Gebühr kommt in der Prüfung vor.
Geburt,die,birth,Wir gratulieren zur Geburt eures Kindes!
Geburtstag,der,birthday,Herzlichen Glückwunsch zum Geburtstag!
Gedicht,das,poem,Das Gedicht ist heute wichtig.
Geduld,die,patience,Die Geduld steht auf meiner Liste.
geehrt,,honored; dear,'geehrt' kommt in vielen Texten vor.
geeignet,,suitable,Dieses Spiel ist nicht für Kinder unter drei Jahren geeignet.
Gefahr,die,danger,Betreten der Baustelle auf eigene Gefahr.
gefährlich,,dangerous,"Achtung, hier ist eine gefährliche Kurve!"
gefallen,,to please; to like,Wie gefällt es Ihnen hier?
sich etwas gefallen lassen,,to put up with something,Das würde ich mir nicht gefallen lassen.
lassen,,to let; to leave,Dieses Wort heißt 'lassen'.
Gefängnis,das,prison,Er wurde zu fünf Jahren Gefängnis verurteilt.
Gefühl,das,feeling,"Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl."
gegen,,against; around; toward,Ich bin gegen einen Baum gefahren.
Gegner,der,opponent,Sie ist eine Gegnerin von Tierversuchen.
Gegensatz,der,contrast; opposite,Diese beiden Meinungen stehen in starkem Gegensatz zueinander.
Gegenstand,der,object; item,Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein.
Gegenteil,das,opposite,Das Gegenteil von „klein“ ist „groß“.
gegenüber,,opposite; across from,Das Geschäft liegt direkt gegenüber der Post.
Gehalt,das,salary,Ich bin mit meinem Gehalt zufrieden.
Geheimnis,das,secret,Das kann ich dir nicht sagen. Das ist ein Geheimnis. geheim Das ist geheim. Du darfst es niemandem sagen.
geheim,,secret,Ich wiederhole heute 'geheim'.
gehen,,to go; to walk,Ich gehe jeden Morgen zu Fuß zur Arbeit.
gehören,,to belong,Gehört Ihnen das Haus?
Gehsteig/Trottoir,der,sidewalk; pavement,Der Gehsteig kommt in der Prüfung vor.
Geld,das,money,Ich habe nicht genug Geld dabei.
Geldautomat,der,ATM; cash machine,Der Geldautomat passt gut zu diesem Thema.
Gelegenheit,die,opportunity; occasion,"Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen."
gelingen,,to succeed,"Es ist mir gelungen, meinen Chef zu überzeugen."
gelten,,to be valid; to apply,Mein Pass gilt noch ein Jahr.
gemeinsam,,together; shared,Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen.
Gemeinschaft,die,community; common area,Rauchen ist in den Gemeinschaftsräumen nicht erlaubt.
Gemüse,das,vegetables,Wir kaufen das Gemüse direkt beim Bauern.
gemütlich,,cozy; comfortable,Wir haben eine sehr gemütliche Wohnung.
genau,,exact; precise,Haben Sie die genaue Zeit?
genauso,,exactly the same; just as,Katarina sieht genauso aus wie ihre Schwester.
genehmigen,,to approve,Mein Chef hat mir sechs Wochen Urlaub genehmigt.
Generation,die,generation,In diesem Haus wohnen drei Generationen zusammen.
genießen,,to enjoy,"Er kann das Essen leider nicht genießen, weil es zu scharf ist."
genug,,enough,Es ist noch genug Suppe da.
genügen,,to be enough; to suffice,Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer-Wohnung.
Gepäck,das,luggage; baggage,Ich habe mein Gepäck am Bahnhof gelassen.
gerade,,straight; just; right now,Das Bild hängt nicht gerade.
geradeaus,,straight ahead,Fahren Sie geradeaus bis zur nächsten Kreuzung.
Gerät,das,device; appliance,Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.
gerecht,,fair; just,Lass uns den Kuchen gerecht verteilen.
Gericht,das,court; dish,Ich habe heute Vormittag einen Termin beim Gericht.
gering,,low; small; slight,Unsere Mannschaft hatte nur eine geringe Chance.
gern/gerne,,gladly; like to,Ich helfe Ihnen gern.
gesamt-/Gesamt-,,total; entire; whole,Ich habe meine gesamten Bücher verschenkt.
geschehen,,to happen,Vielen Dank für Ihre Hilfe. – Gern geschehen.
Geschenk,das,gift; present,Vielen Dank für das Geschenk.
Geschichte,die,history; story,Ich interessiere mich nicht für Geschichte.
geschieden,,divorced,Ich bin seit drei Jahren geschieden.
Geschirr,das,dishes; tableware,Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.
Geschlecht,das,sex; gender,Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.
Geschmack,der,taste; flavor,Ich möchte bitte Kaugummi mit Erdbeergeschmack.
Geschwindigkeit,die,speed,Das Auto fuhr mit zu hoher Geschwindigkeit.
Geschwindigkeitsbeschränkung,die,speed limit,Bitte beachten Sie die Geschwindigkeitsbeschränkungen.
Geschwister,die,siblings,Die Geschwister sehen sich nur selten.
Gesellschaft,die,society; company,Er will die Gesellschaft verändern.
Gesetz,das,law,Das Parlament hat ein neues Gesetz beschlossen.
Gesicht,das,face,Wasch dir bitte das Gesicht.
gespannt,,excited; curious,"Ich bin gespannt, wer bei diesem Spiel gewinnt."
Gespräch,das,conversation; meeting,Herr Müller ist gerade in einem Gespräch.
gestern,,yesterday,Ich bin erst gestern zurückgekommen.
gesund,,healthy,Ich hatte Grippe. Jetzt bin ich wieder gesund.
Gesundheit,die,health,Sie müssen mehr auf Ihre Gesundheit achten.
Getränk,das,drink; beverage,Besorgst du bitte die Getränke?
Gewalt,die,violence,"Ich mag keine Filme, in denen Gewalt vorkommt."
Gewerkschaft,die,trade union,Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.
Gewicht,das,weight,Wie teuer ist das Päckchen? – Das hängt vom Gewicht ab.
gewinnen,,to win,Ich möchte so gern einmal im Lotto gewinnen.
Gewinn,der,winnings; profit,Ich habe bei einem Ratespiel mitgemacht. Der Hauptgewinn ist ein Auto.
Gewissen,das,conscience,Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.
Gewitter,das,thunderstorm,Gestern gab es ein starkes Gewitter.
gewöhnt/ist gewöhnt,,used to; accustomed to,"Ich bin daran gewöhnt, früh aufzustehen."
Gewohnheit,die,habit,"Er hat die Gewohnheit, morgens zuerst die Post zu erledigen."
gewohnt,,used to; accustomed,"Ich bin gewohnt, früh ins Bett zu gehen."
gewöhnlich,,usually; ordinary,Um die Zeit ist er gewöhnlich zu Hause.
Gewürz,das,spice,Von den scharfen Gewürzen bekommt man Durst.
gießen,,to water; to pour,Es hat nicht geregnet. Ich muss meine Blumen gießen.
Gift,das,poison,"Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!"
giftig,,poisonous; toxic,Das Wort 'giftig' ist nützlich.
Gitarre,die,guitar,Ich spiele seit drei Jahren Gitarre.
Glace/Glacé,die/das,ice cream,Das Glacé schmeckt sehr gut.
Glas,das,glass,"Vorsicht, die Kanne ist aus Glas!"
glatt,,smooth; slippery,Fahr vorsichtig! Es ist glatt.
glauben,,to believe,"Ich glaube, der Chef ist heute nicht im Büro."
gleich,,same; soon; right away,'gleich' kommt in vielen Texten vor.
gleichfalls,,likewise; same to you,Dieses Wort heißt 'gleichfalls'.
gleichberechtigt,,equal; having equal rights,Ich wiederhole heute 'gleichberechtigt'.
gleichzeitig,,at the same time,Ich übe das Wort 'gleichzeitig'.
Gleis,das,track; platform track,Der Zug fährt heute von Gleis 7 ab.
Glück,das,luck; happiness,Du hast dich nicht verletzt. Da hast du Glück gehabt.
glücklich,,happy; lucky,'glücklich' kommt in vielen Texten vor.
Glückwunsch,der,congratulation,Herzlichen Glückwunsch zum Geburtstag!
Gold,das,gold,"Ist der Ring aus Gold? Nein, der sieht nur so aus."
Gott,der,God,Glaubst du an Gott?
Grafik,die,graphic; chart,Die Grafik zeigt die Temperaturen im letzten Jahr.
Gras,das,grass,Wir lagen den ganzen Tag im Gras.
gratulieren,,to congratulate,Ich gratuliere euch zur Geburt eurer Tochter.
Gratulation,die,congratulations,Herzliche Gratulation! Sie haben gewonnen!
gratis,,free of charge,"Diese Reparatur kostet Sie gar nichts, wir machen das gratis für Sie."
greifen,,to reach; to grab,Greifen Sie doch zu!
Grenze,die,border; limit,An der Grenze musst du deinen Ausweis zeigen.
grillen,,to grill; to barbecue,Heute wollen wir im Garten grillen.
grillieren,,to grill; to barbecue,Heute wollen wir im Garten grillieren.
Grill,der,grill; barbecue,Kannst du mir deinen Grill leihen? Wir wollen am Wochenende ein Picknick machen.
Grippe,die,flu,Ich habe eine Grippe und kann leider nicht kommen.
groß,,big; large; tall,Wir haben einen großen Garten.
gründen,,to found; to establish,Frau Bauer hat eine eigene Firma gegründet.
Grund,der,reason; ground,Sie haben Ihre Stelle gekündigt. Aus welchem Grund?
gründlich,,thorough,"Ich möchte die Wohnung gründlich reinigen, bevor der Besuch kommt."
Grundstück,das,plot of land; property,Wir wollen ein Haus bauen und suchen ein günstiges Grundstück.
Gruppe,die,group,Für Gruppen gibt es eine Ermäßigung.
grüßen,,to greet,"Wer war die Frau, die du eben gegrüßt hast?"
Gruß,der,greeting,Der Gruß ist heute wichtig.
gucken,,to look; to watch,Guck doch mal! Es schneit.
gültig,,valid,Mein Pass ist nur noch zwei Monate gültig.
Haar,das,hair,Meine Freundin hat langes schwarzes Haar.
günstig,,affordable; favorable,Ich suche eine günstige Ferienwohnung.
haben,,to have,Ich übe das Verb 'haben'.
gut,,good,Ich kenne ein gutes Lokal.
